"id","title","latitude","longitude","pleiades","author","rank","latlong"
"50277","Noviomagus",49.317,8.431,"109224","Scheidel",7,"49.317:8.431"
"50278","Nuceria",40.743,14.674,"432985","Scheidel",8,"40.743:14.674"
"50279","Ocriculum",42.412,12.467,"413231","Scheidel",8,"42.412:12.467"
"50280","Odessus",43.212,27.909,"216904","Scheidel",8,"43.212:27.909"
"50281","Oea",32.898,13.175,"344456","Scheidel",9,"32.898:13.175"
"50282","Oescus",43.698,24.482,"216907","Scheidel",8,"43.698:24.482"
"50451","Olbia",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50283","Olisipo",38.707,-9.136,"256338","Scheidel",8,"38.707:-9.136"
"50284","Omboi",24.467,32.95,"no Pleiades ID yet","Scheidel",8,"24.467:32.95"
"50285","Osca",42.14,-0.409,"246539","Scheidel",8,"42.14:-0.409"
"50286","Ostia/Portus",41.755,12.288,"422995","Scheidel",9,"41.755:12.288"
"50287","Ovilava",48.157,14.025,"118901","Scheidel",8,"48.157:14.025"
"50288","Oxyrhynchus",28.673,30.626,"736983","Scheidel",8,"28.673:30.626"
"50289","Palantia",42.475,-5.297,"236590","Scheidel",6,"42.475:-5.297"
"50290","Palmyra",34.768,38.286,"668331","Scheidel",9,"34.768:38.286"
"50452","Paphos",0,0,"no Pleiades ID yet","Scheidel",9,"0:0"
"50291","Paraetonium",31.35,27.237,"716615","Scheidel",8,"31.35:27.237"
"50292","Parma",44.804,10.333,"383737","Scheidel",8,"44.804:10.333"
"50293","Parthanum",47.492,11.086,"187505","Scheidel",6,"47.492:11.086"
"50440","Patara",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50294","Patavium",45.41,11.877,"393473","Scheidel",9,"45.41:11.877"
"50295","Pax Iulia",38.016,-7.865,"256358","Scheidel",9,"38.016:-7.865"
"50296","Pella",40.76,22.526,"491687","Scheidel",8,"40.76:22.526"
"50297","Pelusium",31.05,32.6,"727192","Scheidel",9,"31.05:32.6"
"50298","Penne Locos",46.398,6.926,"177602","Scheidel",6,"46.398:6.926"
"50299","Perdices",35.932,5.39,"334608","Scheidel",7,"35.932:5.39"
"50300","Pergamum",39.131,27.185,"550812","Scheidel",9,"39.131:27.185"
"50437","Perge",0,0,"no Pleiades ID yet","Scheidel",9,"0:0"
"50301","Perinthus",40.971,27.953,"511357","Scheidel",8,"40.971:27.953"
"50302","Petra",30.326,35.468,"697725","Scheidel",9,"30.326:35.468"
"50303","Petuaria",53.688,-0.591,"79639/","Scheidel",7,"53.688:-0.591"
"50438","Phaselis",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50443","Phiara",0,0,"no Pleiades ID yet","Scheidel",6,"0:0"
"50304","Philadelpheia",31.931,35.926,"697728","Scheidel",9,"31.931:35.926"
"50305","Philippi",41.014,24.283,"501482","Scheidel",8,"41.014:24.283"
"50306","Philippopolis",42.144,24.75,"216927","Scheidel",9,"42.144:24.75"
"50307","Pisae",43.716,10.397,"403253","Scheidel",9,"43.716:10.397"
"50308","Pistoriae",43.932,10.919,"403254","Scheidel",8,"43.932:10.919"
"50309","Placentia",45.052,9.699,"383741","Scheidel",9,"45.052:9.699"
"50310","Poetovio",46.42,15.87,"197446","Scheidel",8,"46.42:15.87"
"50311","Pola",44.87,13.841,"197448","Scheidel",8,"44.87:13.841"
"50312","Pompeii",40.749,14.485,"433032","Scheidel",8,"40.749:14.485"
"50313","Pompelo",42.818,-1.644,"246567","Scheidel",7,"42.818:-1.644"
"50314","Pons Aeni",47.856,12.124,"187516","Scheidel",7,"47.856:12.124"
"50315","Pons Drusi",46.497,11.358,"187518","Scheidel",6,"46.497:11.358"
"50316","Porolissum",47.23,23.127,"207361","Scheidel",8,"47.23:23.127"
"50456","Portus Pachyni",0,0,"no Pleiades ID yet","Scheidel",7,"0:0"
"50318","Potaissa",46.566,23.791,"207362","Scheidel",8,"46.566:23.791"
"50319","Praetorium",31.5,15.5,"364003","Scheidel",7,"31.5:15.5"
"50320","Ptolemais",32.708,20.951,"373879","Scheidel",9,"32.708:20.951"
"50321","Ptolemais Hermiou",26.478,31.804,"756635","Scheidel",8,"26.478:31.804"
"50322","Puteoli",40.824,14.122,"432815","Scheidel",9,"40.824:14.122"
"50323","Ravenna",44.416,12.197,"393480","Scheidel",9,"44.416:12.197"
"50324","Reate",42.403,12.861,"413283","Scheidel",8,"42.403:12.861"
"50326","Regium",38.109,15.644,"452416","Scheidel",8,"38.109:15.644"
"50327","Roma",41.892,12.486,"423025","Scheidel",10,"41.892:12.486"
"50328","Rusaddir",35.292,-2.938,"285512","Scheidel",8,"35.292:-2.938"
"50329","Rusicade",36.883,6.906,"305137","Scheidel",8,"36.883:6.906"
"50330","Rutupiae",51.294,1.332,"79664/","Scheidel",7,"51.294:1.332"
"50331","Sabratha",32.806,12.485,"344282","Scheidel",9,"32.806:12.485"
"50332","Saguntum",39.68,-0.279,"266021","Scheidel",8,"39.68:-0.279"
"50333","Sala",34.015,-6.833,"275696","Scheidel",8,"34.015:-6.833"
